section,configuration,question_id,question,question_type,result,main_takeaway,answerable_retrieval_hit,answer_correct,citation_correct,abstention_correct,avg_response_time_s,avg_chunks_sent_to_llm,namespace,top_k,chunking_strategy,expected_answer,expected_source,generated_answer_short
QUESTION_RESULT,fixed_top_3,q11,How must employers train workers about hazards?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,3.291,3,fixed_chunks,3,fixed_size,language;vocabulary;understand,"OSHA_Workers_Rights.pdf, page 11","Employers must train workers about hazards in a language and vocabulary they understand, providing effective information on hazardous chemicals and how to protect themselves (including details like current chemical lists, proper labeling, a"
QUESTION_RESULT,fixed_top_3,q12,Can workers file a complaint with OSHA to request an on-site inspection?,Answerable,REVIEW_ANSWER_MATCH,"Retrieval and citation succeeded, but strict keyword answer check did not pass.",YES,NO,YES,OK,2.658,3,fixed_chunks,3,fixed_size,file a complaint;on-site inspection,"OSHA_Workers_Rights.pdf, page 13","Yes. Workers or their representatives may file a written complaint with OSHA and ask OSHA to inspect their workplace, and such inspections can be triggered by a worker complaint. You can also request that OSHA not inform your employer who f"
QUESTION_RESULT,fixed_top_3,q13,What does an OSHA citation inform an employer about after an inspection?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,3.676,3,fixed_chunks,3,fixed_size,alleged violation;time period;penalties,"OSHA_Employer_Rights_Responsibilities_Inspection.pdf, page 6","An OSHA citation informs the employer of the alleged violation (its description), the proposed time period within which to correct (abatement dates), and the proposed penalties (dollar penalties) [Source 2]. It may also include the specific"
QUESTION_RESULT,fixed_top_3,q14,How long must an employer post an OSHA citation?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,2.048,3,fixed_chunks,3,fixed_size,three working days;until the violation is corrected,"OSHA_Employer_Rights_Responsibilities_Inspection.pdf, page 7","The citation must remain posted for three working days or until the violation is corrected, whichever is longer. (Saturdays, Sundays, and Federal holidays are not counted as working days.) [Source 2]"
QUESTION_RESULT,fixed_top_3,q15,What can an employer request before deciding whether to contest an OSHA citation?,Answerable,REVIEW_ANSWER_MATCH,"Retrieval and citation succeeded, but strict keyword answer check did not pass.",YES,NO,YES,OK,3.893,3,fixed_chunks,3,fixed_size,informal conference;OSHA area director;15-working-day,"OSHA_Employer_Rights_Responsibilities_Inspection.pdf, page 8","They can request an informal conference with the OSHA area director to discuss the Citation and Notification of Penalty, including: - obtaining a better explanation of the violations - understanding the applicable standards - negotiating an"
QUESTION_RESULT,fixed_top_3,q16,What are the four core functions of the NIST AI Risk Management Framework?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,1.839,3,fixed_chunks,3,fixed_size,GOVERN;MAP;MEASURE;MANAGE,"NIST_AI_Risk_Management_Framework.pdf, page 25","The four core functions are: GOVERN, MAP, MEASURE, and MANAGE. [Source 1] [Source 2]"
QUESTION_RESULT,fixed_top_3,q17,What characteristics of trustworthy AI does the NIST AI RMF list?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,3.376,3,fixed_chunks,3,fixed_size,valid and reliable;safe;secure and resilient;accountable and transparent;explainable and interpretable;privacy enhanced;fair,"NIST_AI_Risk_Management_Framework.pdf, page 17",- Valid and reliable - Safe - Secure and resilient - Accountable and transparent - Explainable and interpretable - Privacy-enhanced - Fair with harmful bias managed [Source 1][Source 3]
QUESTION_RESULT,fixed_top_3,q18,What should happen if an AI system presents unacceptable negative risk levels?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,2.063,3,fixed_chunks,3,fixed_size,development and deployment should cease;safe manner,"NIST_AI_Risk_Management_Framework.pdf, page 13",Development and deployment should cease in a safe manner until risks can be sufficiently managed. [Source 1]
QUESTION_RESULT,fixed_top_3,q19,What guidance does FEMA CPG 101 provide?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,3.37,3,fixed_chunks,3,fixed_size,fundamentals of planning;emergency operations plans,"FEMA_Emergency_Operations_Plans_CPG101.pdf, page 3","CPG 101 provides guidance on the fundamentals of planning and developing emergency operations plans (EOPs), the steps to produce an EOP, and possible plan structures and components of a base plan and its annexes. It promotes a common, risk-"
QUESTION_RESULT,fixed_top_3,q20,What are plans not meant to be followed as according to FEMA CPG 101?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,2.459,3,fixed_chunks,3,fixed_size,not scripts;flexible;adaptable,"FEMA_Emergency_Operations_Plans_CPG101.pdf, page 4",Plans are not scripts to be followed to the letter but are flexible and adaptable to the actual situation. [Source 1][Source 2]
QUESTION_RESULT,fixed_top_3,q21,What should an EOP base plan provide or identify?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,14.745,3,fixed_chunks,3,fixed_size,overview;emergency management;policies;response organization;assigns tasks,"FEMA_Emergency_Operations_Plans_CPG101.pdf, page 75","- Provides an overview of the jurisdiction’s emergency management/response program and its ability to prepare for, respond to, and recover from disasters or emergencies. - Identifies emergency response policies. - Describes the response org"
QUESTION_RESULT,fixed_top_3,q22,What are the two main ways to get Medicare coverage?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,2.993,3,fixed_chunks,3,fixed_size,Original Medicare;Medicare Advantage,"Medicare_and_You_2026.pdf, page 10",Original Medicare (Part A and Part B) and Medicare Advantage (Part C) [Source 2].
QUESTION_RESULT,fixed_top_3,q23,What two parts are included in Original Medicare?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,1.708,3,fixed_chunks,3,fixed_size,Part A;Part B,"Medicare_and_You_2026.pdf, page 57",Part A (Hospital Insurance) and Part B (Medical Insurance). [Source 1]
QUESTION_RESULT,fixed_top_3,q24,When is the Medicare Open Enrollment Period for joining switching or dropping a plan?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,2.978,3,fixed_chunks,3,fixed_size,October 15;December 7;January 1,"Medicare_and_You_2026.pdf, page 80","Open Enrollment Period is October 15 – December 7 each year. During this time you can join, switch, or drop a plan. Your coverage starts January 1 if the plan gets your request by December 7. [Source 1]"
QUESTION_RESULT,fixed_top_3,q25,Who is the founder of America?,Unanswerable,ABSTAIN_OK,Correctly refused because the documents did not support the question.,N/A,N/A,N/A,OK,0.258,0,fixed_chunks,3,fixed_size,,,I do not have enough information in the uploaded documents to answer that.
QUESTION_RESULT,fixed_top_3,q26,What is Emem Usoh's favorite food?,Unanswerable,ABSTAIN_OK,Correctly refused because the documents did not support the question.,N/A,N/A,N/A,OK,0.327,0,fixed_chunks,3,fixed_size,,,I do not have enough information in the uploaded documents to answer that.
QUESTION_RESULT,fixed_top_3,q27,What final grade did the student receive for the Ask My Documents project?,Unanswerable,ABSTAIN_OK,Correctly refused because the documents did not support the question.,N/A,N/A,N/A,OK,2.18,1,fixed_chunks,3,fixed_size,,,I do not have enough information in the uploaded documents to answer that.
QUESTION_RESULT,fixed_top_3,q28,Which CFPB employee authored the credit score handout?,Unanswerable,ABSTAIN_OK,Correctly refused because the documents did not support the question.,N/A,N/A,N/A,OK,0.223,0,fixed_chunks,3,fixed_size,,,I do not have enough information in the uploaded documents to answer that.
QUESTION_RESULT,fixed_top_3,q29,Which OSHA regional office is located in Toronto?,Unanswerable,ABSTAIN_OK,Correctly refused because the documents did not support the question.,N/A,N/A,N/A,OK,1.935,3,fixed_chunks,3,fixed_size,,,I do not have enough information in the uploaded documents to answer that.
QUESTION_RESULT,fixed_top_3,q30,What GPU model did NIST use to train the AI Risk Management Framework?,Unanswerable,ABSTAIN_OK,Correctly refused because the documents did not support the question.,N/A,N/A,N/A,OK,3.473,3,fixed_chunks,3,fixed_size,,,I do not have enough information in the uploaded documents to answer that.
QUESTION_RESULT,fixed_top_5,q01,What is the aim of the Ask My Documents project?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,2.764,2,fixed_chunks,5,fixed_size,small configurable RAG system;evidence,"Project_Proposal.docx, paragraph 12","The aim of the Ask My Documents project is to design, implement, and evaluate a small configurable RAG system that answers questions using evidence retrieved from user-uploaded documents. [Source 2]"
QUESTION_RESULT,fixed_top_5,q02,What file types can users upload to Ask My Documents?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,1.714,1,fixed_chunks,5,fixed_size,PDF;DOCX;TXT,"Project_Proposal.docx, paragraph 6","Users can upload PDF, DOCX, and TXT files. [Source 1]"
QUESTION_RESULT,fixed_top_5,q03,What chunking strategies will the experiment compare?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,1.951,1,fixed_chunks,5,fixed_size,fixed-size chunking;paragraph-aware chunking,"Project_Proposal.docx, paragraph 34",Answer: The experiment will compare fixed-size chunking with a simple paragraph-aware chunking method. [Source 1]
QUESTION_RESULT,fixed_top_5,q04,What are credit scores used to estimate?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,2.066,3,fixed_chunks,5,fixed_size,pay back money;borrow,"CFPB_Understand_Your_Credit_Score.pdf, page 1",Credit scores are used to estimate how likely you are to pay back money you borrow. [Source 1]
QUESTION_RESULT,fixed_top_5,q05,Why can a person have more than one credit score?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,2.872,5,fixed_chunks,5,fixed_size,different products;different credit scoring formulas;different credit reporting sources,"CFPB_Understand_Your_Credit_Score.pdf, page 1","You can have more than one credit score because: - Lenders use different scores for different products (e.g., credit cards vs. home loans) [Source 1]. - There are many different credit scoring formulas [Source 1]. - Information can come fro"
QUESTION_RESULT,fixed_top_5,q06,What personal information is used for on a credit report?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,2.047,5,fixed_chunks,5,fixed_size,personal information;confirm;accounts,"CFPB_Understand_Your_Credit_Report.pdf, page 1",Personal information is used to confirm you are the person who opened the accounts listed on the report. [Source 1]
QUESTION_RESULT,fixed_top_5,q07,How often can someone request a free credit report from each nationwide credit reporting company?,Answerable,REVIEW_ANSWER_MATCH,"Retrieval and citation succeeded, but strict keyword answer check did not pass.",YES,NO,YES,OK,2.763,5,fixed_chunks,5,fixed_size,once every 12 months;Equifax;Experian;TransUnion,"CFPB_Understand_Your_Credit_Report.pdf, page 3",You can request a free credit report from each nationwide credit reporting company once every 12 months. [Source 1]
QUESTION_RESULT,fixed_top_5,q08,What does the Fair Credit Reporting Act promote?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,2.052,5,fixed_chunks,5,fixed_size,accuracy;fairness;privacy,"CFPB_FCRA_Summary_of_Rights.pdf, page 1","The Fair Credit Reporting Act promotes the accuracy, fairness, and privacy of information in the files of consumer reporting agencies. [Source 1]"
QUESTION_RESULT,fixed_top_5,q09,What must consumer reporting agencies do with inaccurate incomplete or unverifiable information?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,4.198,5,fixed_chunks,5,fixed_size,correct;delete;inaccurate;incomplete;unverifiable;30 days,"CFPB_FCRA_Summary_of_Rights.pdf, page 2","They must correct or delete the inaccurate, incomplete, or unverifiable information (usually within 30 days); they may continue to report information they have verified as accurate, and they must investigate disputes unless the dispute is f"
QUESTION_RESULT,fixed_top_5,q10,What workplace right does the OSH Act give workers?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,2.454,5,fixed_chunks,5,fixed_size,safe;healthful;working conditions,"OSHA_Workers_Rights.pdf, page 5",The right to safe and healthful working conditions. [Source 1][Source 2]
QUESTION_RESULT,fixed_top_5,q11,How must employers train workers about hazards?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,2.878,5,fixed_chunks,5,fixed_size,language;vocabulary;understand,"OSHA_Workers_Rights.pdf, page 11","Employers must provide training in a language and vocabulary that workers can understand, and the training must give effective information about hazards and how to protect themselves (including chemical hazards where applicable). Training s"
QUESTION_RESULT,fixed_top_5,q12,Can workers file a complaint with OSHA to request an on-site inspection?,Answerable,REVIEW_ANSWER_MATCH,"Retrieval and citation succeeded, but strict keyword answer check did not pass.",YES,NO,YES,OK,4.522,5,fixed_chunks,5,fixed_size,file a complaint;on-site inspection,"OSHA_Workers_Rights.pdf, page 13","Yes. Workers or their representatives may file a written complaint with OSHA to request an on-site inspection, and they can ask that their employer not be told who filed the complaint. The complaint can be submitted by mail, fax, email, onl"
QUESTION_RESULT,fixed_top_5,q13,What does an OSHA citation inform an employer about after an inspection?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,2.536,5,fixed_chunks,5,fixed_size,alleged violation;time period;penalties,"OSHA_Employer_Rights_Responsibilities_Inspection.pdf, page 6","An OSHA citation informs the employer of the alleged violation, sets a proposed time period within which to correct the violation, and proposes the appropriate dollar penalties. It also includes a description of the violation and any abatem"
QUESTION_RESULT,fixed_top_5,q14,How long must an employer post an OSHA citation?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,5.322,5,fixed_chunks,5,fixed_size,three working days;until the violation is corrected,"OSHA_Employer_Rights_Responsibilities_Inspection.pdf, page 7","The citation must remain posted in a place where employees can see it for three working days or until the violation is corrected, whichever is longer (weekends and Federal holidays are not counted as working days). [Source 2]"
QUESTION_RESULT,fixed_top_5,q15,What can an employer request before deciding whether to contest an OSHA citation?,Answerable,REVIEW_ANSWER_MATCH,"Retrieval and citation succeeded, but strict keyword answer check did not pass.",YES,NO,YES,OK,3.175,5,fixed_chunks,5,fixed_size,informal conference;OSHA area director;15-working-day,"OSHA_Employer_Rights_Responsibilities_Inspection.pdf, page 8","An employer may request an informal conference with the OSHA area director during the discussion period to review the Citation and Notification of Penalty. At this conference, they can seek explanations, understand applicable standards, neg"
QUESTION_RESULT,fixed_top_5,q16,What are the four core functions of the NIST AI Risk Management Framework?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,1.844,5,fixed_chunks,5,fixed_size,GOVERN;MAP;MEASURE;MANAGE,"NIST_AI_Risk_Management_Framework.pdf, page 25","The four core functions are: GOVERN, MAP, MEASURE, and MANAGE. [Source 1], [Source 2]"
QUESTION_RESULT,fixed_top_5,q17,What characteristics of trustworthy AI does the NIST AI RMF list?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,2.559,5,fixed_chunks,5,fixed_size,valid and reliable;safe;secure and resilient;accountable and transparent;explainable and interpretable;privacy enhanced;fair,"NIST_AI_Risk_Management_Framework.pdf, page 17",The NIST AI RMF lists the following characteristics of trustworthy AI: - valid and reliable - safe - secure and resilient - accountable and transparent - explainable and interpretable - privacy-enhanced - fair with harmful bias managed [Sou
QUESTION_RESULT,fixed_top_5,q18,What should happen if an AI system presents unacceptable negative risk levels?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,2.148,5,fixed_chunks,5,fixed_size,development and deployment should cease;safe manner,"NIST_AI_Risk_Management_Framework.pdf, page 13",Development and deployment should cease in a safe manner until risks can be sufficiently managed. [Source 1]
QUESTION_RESULT,fixed_top_5,q19,What guidance does FEMA CPG 101 provide?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,3.179,5,fixed_chunks,5,fixed_size,fundamentals of planning;emergency operations plans,"FEMA_Emergency_Operations_Plans_CPG101.pdf, page 3","FEMA CPG 101 provides guidance on the fundamentals of planning and developing Emergency Operations Plans (EOPs), the steps to produce an EOP, possible plan structures and components of a base plan and its annexes, and aims to promote a comm"
QUESTION_RESULT,fixed_top_5,q20,What are plans not meant to be followed as according to FEMA CPG 101?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,2.148,5,fixed_chunks,5,fixed_size,not scripts;flexible;adaptable,"FEMA_Emergency_Operations_Plans_CPG101.pdf, page 4",Plans are not scripts to be followed to the letter but are flexible and adaptable to the actual situation. [Source 1]
QUESTION_RESULT,fixed_top_5,q21,What should an EOP base plan provide or identify?,Answerable,REVIEW_ANSWER_MATCH,"Retrieval and citation succeeded, but strict keyword answer check did not pass.",YES,NO,YES,OK,2.868,5,fixed_chunks,5,fixed_size,overview;emergency management;policies;response organization;assigns tasks,"FEMA_Emergency_Operations_Plans_CPG101.pdf, page 75","An EOP base plan should: - Provide an overview of the jurisdiction’s emergency management/response program and its ability to prepare for, respond to, and recover from disasters or emergencies. - Identify emergency response policies. - Desc"
QUESTION_RESULT,fixed_top_5,q22,What are the two main ways to get Medicare coverage?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,2.362,5,fixed_chunks,5,fixed_size,Original Medicare;Medicare Advantage,"Medicare_and_You_2026.pdf, page 10",Original Medicare (Part A and Part B) and Medicare Advantage (Part C). [Source 2]
QUESTION_RESULT,fixed_top_5,q23,What two parts are included in Original Medicare?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,2.038,5,fixed_chunks,5,fixed_size,Part A;Part B,"Medicare_and_You_2026.pdf, page 57",Original Medicare includes two parts: Part A (Hospital Insurance) and Part B (Medical Insurance). [Source 1]
QUESTION_RESULT,fixed_top_5,q24,When is the Medicare Open Enrollment Period for joining switching or dropping a plan?,Answerable,REVIEW_ANSWER_MATCH,"Retrieval and citation succeeded, but strict keyword answer check did not pass.",YES,NO,YES,OK,2.867,5,fixed_chunks,5,fixed_size,October 15;December 7;January 1,"Medicare_and_You_2026.pdf, page 80",October 15 to December 7 each year. [Source 1]
QUESTION_RESULT,fixed_top_5,q25,Who is the founder of America?,Unanswerable,ABSTAIN_OK,Correctly refused because the documents did not support the question.,N/A,N/A,N/A,OK,0.233,0,fixed_chunks,5,fixed_size,,,I do not have enough information in the uploaded documents to answer that.
QUESTION_RESULT,fixed_top_5,q26,What is Emem Usoh's favorite food?,Unanswerable,ABSTAIN_OK,Correctly refused because the documents did not support the question.,N/A,N/A,N/A,OK,0.228,0,fixed_chunks,5,fixed_size,,,I do not have enough information in the uploaded documents to answer that.
QUESTION_RESULT,fixed_top_5,q27,What final grade did the student receive for the Ask My Documents project?,Unanswerable,ABSTAIN_OK,Correctly refused because the documents did not support the question.,N/A,N/A,YES,OK,1.485,1,fixed_chunks,5,fixed_size,,,I do not have enough information in the uploaded documents to answer that. [Source 1]
QUESTION_RESULT,fixed_top_5,q28,Which CFPB employee authored the credit score handout?,Unanswerable,ABSTAIN_OK,Correctly refused because the documents did not support the question.,N/A,N/A,N/A,OK,0.232,0,fixed_chunks,5,fixed_size,,,I do not have enough information in the uploaded documents to answer that.
QUESTION_RESULT,fixed_top_5,q29,Which OSHA regional office is located in Toronto?,Unanswerable,ABSTAIN_OK,Correctly refused because the documents did not support the question.,N/A,N/A,N/A,OK,2.034,5,fixed_chunks,5,fixed_size,,,I do not have enough information in the uploaded documents to answer that.
QUESTION_RESULT,fixed_top_5,q30,What GPU model did NIST use to train the AI Risk Management Framework?,Unanswerable,ABSTAIN_OK,Correctly refused because the documents did not support the question.,N/A,N/A,N/A,OK,2.035,5,fixed_chunks,5,fixed_size,,,I do not have enough information in the uploaded documents to answer that.
QUESTION_RESULT,paragraph_top_3,q01,What is the aim of the Ask My Documents project?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,2.253,3,paragraph_chunks,3,paragraph_aware,small configurable RAG system;evidence,"Project_Proposal.docx, paragraph 12","The aim is to design, implement, and evaluate a small configurable RAG system that answers questions using evidence retrieved from user-uploaded documents. [Source 2]"
QUESTION_RESULT,paragraph_top_3,q02,What file types can users upload to Ask My Documents?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,2.355,1,paragraph_chunks,3,paragraph_aware,PDF;DOCX;TXT,"Project_Proposal.docx, paragraph 6","Users can upload PDF, DOCX, and TXT files. [Source 1]"
QUESTION_RESULT,paragraph_top_3,q03,What chunking strategies will the experiment compare?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,1.945,1,paragraph_chunks,3,paragraph_aware,fixed-size chunking;paragraph-aware chunking,"Project_Proposal.docx, paragraph 34",The experiment will compare fixed-size chunking with a simple paragraph-aware chunking method. [Source 1]
QUESTION_RESULT,paragraph_top_3,q04,What are credit scores used to estimate?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,1.781,3,paragraph_chunks,3,paragraph_aware,pay back money;borrow,"CFPB_Understand_Your_Credit_Score.pdf, page 1",Credit scores are used to estimate how likely you are to pay back money you borrow. [Source 1]
QUESTION_RESULT,paragraph_top_3,q05,Why can a person have more than one credit score?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,3.555,3,paragraph_chunks,3,paragraph_aware,different products;different credit scoring formulas;different credit reporting sources,"CFPB_Understand_Your_Credit_Score.pdf, page 1","You can have more than one credit score because: - Lenders use different scores for different products (e.g., credit card vs. home loan) [Source 1]. - There are many different credit scoring formulas [Source 1]. - Information can come from "
QUESTION_RESULT,paragraph_top_3,q06,What personal information is used for on a credit report?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,2.55,3,paragraph_chunks,3,paragraph_aware,personal information;confirm;accounts,"CFPB_Understand_Your_Credit_Report.pdf, page 1",Personal information is used to confirm you are the person who opened the accounts listed on the report. [Source 1]
QUESTION_RESULT,paragraph_top_3,q07,How often can someone request a free credit report from each nationwide credit reporting company?,Answerable,REVIEW_ANSWER_MATCH,"Retrieval and citation succeeded, but strict keyword answer check did not pass.",YES,NO,YES,OK,3.833,3,paragraph_chunks,3,paragraph_aware,once every 12 months;Equifax;Experian;TransUnion,"CFPB_Understand_Your_Credit_Report.pdf, page 3","- You are entitled to one free credit report per year from each of the three nationwide credit reporting companies (Equifax, Experian, and TransUnion) [Source 1], [Source 3]. - In addition, Equifax offers six free credit reports per year un"
